Stationsnummer;Datum;TagesmittelDesLuftdrucks(0.1HPA);Tmax(0.1°C);Tmin(0.1°C);TminErdboden(0.1°C);relLuftfeuchte(%);Windstaerke(o.1BFT);Bedeckungsgrad(0.1Achtel);TagessummeDerSonnenscheindauer(0.1Std);TagesmaxDerWindgeschwindigkeit(0.1M/S) 
03883;19791011;-999.9;23.0;6.7;4.5;82;0.7;1.0;7.5;-9.9 
03883;19791012;-999.9;20.5;8.0;6.4;80;1.3;3.0;4.4;-9.9 
03883;19791013;-999.9;19.7;6.0;4.0;82;0.3;2.0;5.5;-9.9 
03883;19791014;-999.9;16.7;8.7;4.0;81;1.7;4.7;1.1;-9.9 
03883;19791015;-999.9;14.0;6.5;4.5;90;1.3;7.3;0.0;-9.9 
03883;19791016;-999.9;13.7;11.5;9.7;90;3.3;8.0;0.0;-9.9 
03883;19791017;-999.9;12.5;7.5;5.0;87;1.0;7.3;0.0;-9.9 
03883;19791018;-999.9;12.5;7.5;5.0;87;5.0;4.3;2.4;-9.9 
03883;19791019;-999.9;13.5;5.8;3.2;77;4.3;4.3;6.3;-9.9 
03883;19791020;-999.9;15.5;7.0;8.0;81;2.3;3.3;5.5;-9.9 
03883;19791021;-999.9;14.1;2.0;-0.3;83;1.0;2.7;7.3;-9.9 
